Date,Start,End,Building,Location,Event,Attendance,Budget,Day of Week,Collab,
9/21/2022,9:30:00 PM,10:30:00 PM,Student Center,Stu Living Room,Info Session,,$0.00,Friday,No,
9/24/2022,2:00:00 PM,3:00:00 PM,Student Center,Stu Living Room,Info Session,,$0.00,Saturday,No,
10/21/2022,6:30:00 PM,8:30:00 PM,Student Center,Stu 353,Gen Bod,,$0.00,Friday,No,
10/27/2022,6:30:00 PM,10:30:00 PM,Lacava,Lacava 375 AB,Halloween Event,26,$850.00,Thursday,No,
11/5/2022,5:00:00 PM,11:00:00 PM,All Systems Go,All Systems Go,Esports Bar Outing,35,"$1,000.00",Saturday,Yes,
11/10/2022,7:30:00 PM,9:00:00 PM,Student Center,Stu 353,Game Night,,$0.00,Thursday,No,
11/18/2022,5:00:00 PM,9:00:00 PM,Student Center,Harry's,Identity Social,115,"$1,450.00",Friday,Yes,
12/8/2022,7:00:00 PM,10:00:00 PM,Fenway,Fenway Skybox,Holiday Event,87,$932.59,Thursday,No,
2/3/2022,5:00:00 PM,8:00:00 PM,Student Center,Harry's,Speed Gaming,73,$320.76,Friday,No,
2/11/2022,3:00:00 PM,7:00:00 PM,Student Center,Back Bays ABC,Minecraft Painting,72,$203.91,Saturday,Yes,
2/17/2022,4:00:00 PM,7:00:00 PM,Student Center,Stu Café + Living Room,Valentines Day Event,41,$398.77,Friday,No,
3/3/2022,5:00:00 PM,8:00:00 PM,Student Center,Harry's,Mario Kart Tournament,63,$480.86,Friday,Yes,
3/24/2023,6:00:00 PM,8:00:00 PM,Student Center,Back Bays AB,Women In Gaming,120,"$1,330.78",Friday,No,
4/14/2023,6:00:00 PM,11:00:00 PM,ASG,ASG,Esports Bar Outing,30,"$1,250.00",Friday,Yes,
